,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
487,496,Burkina Faso,BF,Hauts-Bassins,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 27.5% CIT applies.,Contribution des patentes; turnover-based. Hauts-Bassins (Bobo-Dioulasso): second commercial hub and industrial city; CEFORE regional office here. Mid-to-upper patente assessment base. Source: US State Dept ICS 2025 (Burkina Faso); OHADA,"Land Tenure Reform Law 2009. Hauts-Bassins: Bobo-Dioulasso has active urban land title market, second most formal in Burkina Faso. Rural western zone: customary tenure with cotton estate history. Source: US State Dept ICS 2025 (Burkina Faso); Land Tenure Reform Law 2009",0.275,Information unavailable,10–15%,Information unavailable,Very High,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,High,Low,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low,Information unavailable,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
488,497,Burkina Faso,BF,Nord,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 27.5% CIT applies.,Contribution des patentes; turnover-based. Nord (Ouahigouya): ICS 2025 notes security displacement; reduced commercial activity. Source: US State Dept ICS 2025 (Burkina Faso); OHADA,Land Tenure Reform Law 2009. Nord Region: conflict-affected; land displacement and tenure insecurity elevated; customary tenure dominant. Source: US State Dept ICS 2025 (Burkina Faso); Land Tenure Reform Law 2009,0.275,Information unavailable,10–15%,Information unavailable,Very High,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,High,Low,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low,Information unavailable,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
489,498,Burkina Faso,BF,Plateau-Central,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 27.5% CIT applies.,Contribution des patentes; turnover-based. Plateau-Central (Ziniaré): peri-Ouagadougou agricultural region; moderate patente base. Source: US State Dept ICS 2025 (Burkina Faso); OHADA,Land Tenure Reform Law 2009. Plateau-Central: peri-capital zone experiencing urban sprawl land pressures; customary/urban title overlap. Source: US State Dept ICS 2025 (Burkina Faso); Land Tenure Reform Law 2009,0.275,Information unavailable,10–15%,Information unavailable,Very High,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,High,Low,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low,Information unavailable,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
490,499,Burkina Faso,BF,Sahel,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 27.5% CIT applies.,Contribution des patentes; turnover-based. Sahel (Dori): most conflict-affected region by ICS 2025 metrics; ICS notes massive humanitarian displacement; near-zero effective commercial activity. Lowest patente base in Burkina Faso. Source: US State Dept ICS 2025 (Burkina Faso); OHADA,Land Tenure Reform Law 2009. Sahel Region: conflict and mass displacement have made land tenure rights largely inoperable; pastoral nomadic rights overlap permanently; formal property registration not functional. Source: US State Dept ICS 2025 (Burkina Faso); Land Tenure Reform Law 2009,0.275,Information unavailable,10–15%,Information unavailable,Very High,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,High,Low,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low,Information unavailable,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
491,500,Burkina Faso,BF,Sud-Ouest,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 27.5% CIT applies.,Contribution des patentes; turnover-based. Sud-Ouest (Gaoua): remote border region; agricultural and artisanal mining; low commercial base. Source: US State Dept ICS 2025 (Burkina Faso); OHADA,Land Tenure Reform Law 2009. Sud-Ouest: customary tenure dominant; artisanal mining creates informal land occupation in gold-bearing areas. Source: US State Dept ICS 2025 (Burkina Faso); Land Tenure Reform Law 2009,0.275,Information unavailable,10–15%,Information unavailable,Very High,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,High,Low,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low,Information unavailable,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
492,501,Benin,BJ,Alibori,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies. Source: Benin General Tax Code 2024 (finances.bj),N/A. No SEZ. Standard 30% CIT applies. Source: Benin General Tax Code 2024 (finances.bj); US State Dept,Contribution des patentes; turnover-based. Alibori (Kandi): northernmost cotton-producing region; lower commercial base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Alibori: cotton agribusiness land held under formal leasehold concessions; general rural land customary tenure. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
493,502,Benin,BJ,Atakora,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Atakora (Natitingou): northern highland; agricultural; low commercial base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Atakora: remote highland; customary tenure dominant; formal title limited to Natitingou town. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
494,503,Benin,BJ,Atlantique,Yes,"Glo-Djigbé Industrial Zone (GDIZ) (PPP: Republic of Benin / ARISE IIP; est. 2020; 1,640 ha; gdiz-benin.com official; US State Dept Investment Climate 2025)",100% exemption from TVA/VAT on raw materials purchased in the zone (otherwise 18%); customs duties exempt on qualifying imports. Source: GDIZ official FAQ (gdiz-benin.com); US State Dept Investment Climate Benin 2025,"0% — 100% permanent exemption from corporate income tax (otherwise 30%), business and licence tax, and employer payroll tax. Source: GDIZ official FAQ (gdiz-benin.com); US State Dept Investment Climate Benin 2025; ARISE IIP",Contribution des patentes; turnover-based. Atlantique (Abomey-Calavi): peri-Cotonou corridor; growing industrial/logistics zone; GDIZ SEZ located in this region; mid-to-upper patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Atlantique: GDIZ SEZ (Glo-Djigbé) manages its own land allocation within zone perimeter. Peri-urban expansion from Cotonou creates formal title pressure; customary tenure still significant in inland communes. Source: US State Dept ICS 2024 (Benin); Benin Investment Code 2020,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
495,504,Benin,BJ,Borgou,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Borgou (Parakou): main northern commercial and transport hub; mid-range patente base reflecting active inter-regional trade. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Borgou: Parakou urban formal title available; rural Borgou predominantly customary tenure under traditional authority. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
496,505,Benin,BJ,Collines,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Collines (Savalou): agricultural interior; lower commercial base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Collines: predominantly customary/communal tenure; formal title limited to Savalou and Dassa urban areas. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
497,506,Benin,BJ,Couffo,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Couffo (Aplahoué): agricultural; lower patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Couffo: customary tenure dominant; formal title limited to urban centres. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
498,507,Benin,BJ,Donga,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Donga (Djougou): northern agricultural; lower patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Donga: predominantly customary tenure; pastoralist-farmer land conflicts documented in this region. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
499,508,Benin,BJ,Littoral,Yes,Africa Logistics Zone (ALZ) — Port Autonome de Cotonou / PoABI PPP; est. by Benin govt decree July 31 2024; 40 ha; US State Dept Investment Climate 2025,VAT and customs exemptions on qualifying imports for zone set-up and operations per Benin Investment Code and SEZ decree (July 2024). Standard national VAT is 18%. Source: US State Dept Investment Climate Benin 2025; Benin govt (finances.bj),"CIT exemptions applicable per Benin SEZ law and Investment Code 2020; specific rates subject to negotiated establishment agreement. Exemptions from customs duties, corporate tax, and minimum flat-rate tax for up to 15 years per Investment Code. Standard CIT 30%. Source: US State Dept Investment Climate Benin 2025; Benin Investment Code 2020",Contribution des patentes under WAEMU/OHADA-harmonised Benin tax code; base = prior-year turnover. Littoral Region (Cotonou): sole urban commune; highest patente assessment nationally; largest APIEX/GUFE office. Port of Cotonou drives highest business density in Benin. Source: US State Dept ICS 2024 (Benin); OHADA; Benin Investment Code 2020,Foreign investors may acquire land under Benin Investment Code 2020 (Law 2020-32). Littoral (Cotonou): most developed formal land title market in Benin; Direction des Domaines issues urban titles; land registry most functional nationally. High urban land demand creates speculative pressure; multiple-sale fraud a documented risk (ICS 2024). Source: US State Dept ICS 2024 (Benin); Benin Investment Code 2020,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
500,509,Benin,BJ,Mono,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Mono (Lokossa): coastal agricultural; lagoon-fishing economy; lower patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Mono: coastal/lagoon land subject to maritime zone restrictions; customary tenure prevalent in fishing communities. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
501,510,Benin,BJ,Ouémé,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Ouémé (Porto-Novo): administrative capital; moderate commercial base; mid-range patente level. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Ouémé: Porto-Novo urban title market active; some customary tenure in lagoon-adjacent areas. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
502,511,Benin,BJ,Plateau,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Plateau (Pobè): Nigeria border zone; moderate informal cross-border trade activity; moderate patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Plateau: Nigeria border proximity creates informal land market activity; formal title available in Pobè and Kétou urban areas; customary tenure in rural communes. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
503,512,Benin,BJ,Zou,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 30% CIT applies.,Contribution des patentes; turnover-based. Zou (Abomey/Bohicon): historical centre; agricultural/artisanal trade; moderate patente base. Source: US State Dept ICS 2024 (Benin); OHADA,Foreign investors may acquire land under Benin Investment Code 2020. Zou: formal title limited to Abomey/Bohicon urban areas; rural customary tenure under Kingdom of Dahomey traditional structures historically complex. Source: US State Dept ICS 2024 (Benin),0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
504,513,Chad,TD,Bahr el Gazel,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies. Source: PwC Chad Tax Summaries,N/A. No SEZ. Standard 35% CIT applies. Source: PwC Chad Tax Summaries,Patente under CEMAC/OHADA; turnover-based. Bahr el Gazel: Sahelian; very low commercial base; business registration requires travel to N'Djamena. Source: US State Dept ICS 2025 (Chad); CEMAC/OHADA,Chad National Investment Charter. Bahr el Gazel: customary/nomadic tenure; no formal title infrastructure. Source: US State Dept ICS 2025 (Chad),0.35,Information unavailable,10–15%,Information unavailable,Extreme,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Medium,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very High,Information unavailable,Information unavailable,Very Low,Information unavailable,High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
505,514,Chad,TD,Batha,No,No SEZ,N/A. No SEZ. Standard VAT 18% applies.,N/A. No SEZ. Standard 35% CIT applies.,Patente under CEMAC/OHADA; turnover-based. Batha (Ati): Sahelian; lower commercial base. Source: US State Dept ICS 2025 (Chad); CEMAC/OHADA,Chad National Investment Charter. Batha: customary tenure dominant; limited formal title in Ati town. Source: US State Dept ICS 2025 (Chad),0.35,Information unavailable,10–15%,Information unavailable,Extreme,Information unavailable,High,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Extreme,Information unavailable,Information unavailable,Information unavailable,Medium,Low,Information unavailable,Information unavailable,Medium,Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very High,Information unavailable,Information unavailable,Very Low,Information unavailable,High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
